Date,10year,5year,1year
02/01/2014,8.46,8.02,7.42
03/01/2014,8.55,8.38,7.56
06/01/2014,9.1,8.45,7.52
07/01/2014,9.12,8.55,7.56
08/01/2014,9.04,8.45,7.57
09/01/2014,9.02,8.35,7.52
10/01/2014,8.84,8.27,7.51
13/01/2014,8.64,8.11,7.41
14/01/2014,8.64,8.11,7.31
15/01/2014,8.57,8.04,7.38
16/01/2014,8.48,7.96,7.41
17/01/2014,8.45,7.88,7.37
20/01/2014,8.46,7.91,7.24
21/01/2014,8.47,7.86,7.33
22/01/2014,8.56,7.89,7.27
23/01/2014,8.63,7.97,7.25
24/01/2014,8.79,8.03,7.2
27/01/2014,9.11,8.16,7.39
28/01/2014,9.05,8.15,7.53
29/01/2014,8.8,8.04,7.38
30/01/2014,8.89,8.06,7.24
03/02/2014,9.03,8.08,7.29
04/02/2014,9.08,8.12,7.33
05/02/2014,9.06,8.09,7.53
06/02/2014,9.08,8.08,7.61
07/02/2014,9.03,8.1,7.79
10/02/2014,9.06,8.06,7.63
11/02/2014,9.03,8.01,7.5
12/02/2014,8.86,7.97,7.5
13/02/2014,8.8,7.99,7.51
14/02/2014,8.71,7.96,7.32
17/02/2014,8.53,7.9,7.3
18/02/2014,8.52,7.89,7.12
19/02/2014,8.39,7.85,7.09
20/02/2014,8.36,7.87,7.09
21/02/2014,8.34,7.95,7.02
24/02/2014,8.42,7.97,7.06
25/02/2014,8.49,8.07,7.29
26/02/2014,8.47,8.06,7.35
27/02/2014,8.44,7.95,7.2
28/02/2014,8.39,7.91,7.23
03/03/2014,8.24,7.82,7.23
04/03/2014,8.2,7.83,7.2
05/03/2014,7.99,7.75,7.13
06/03/2014,8.07,7.81,7.23
07/03/2014,8.04,7.8,7.24
09/03/2014,8.04,7.8,7.39
10/03/2014,8.05,7.76,7.27
11/03/2014,8.03,7.76,7.04
12/03/2014,8.06,7.78,7.22
13/03/2014,8.04,7.78,7.1
14/03/2014,8.04,7.76,7.08
17/03/2014,8.01,7.73,7.06
18/03/2014,7.92,7.69,7.24
19/03/2014,7.88,7.69,7.1
20/03/2014,8.04,7.75,7
21/03/2014,8.07,7.73,7.09
24/03/2014,8.09,7.73,7.06
25/03/2014,8.17,7.76,7.08
26/03/2014,8.25,7.76,7.02
27/03/2014,8.08,7.7,7.21
28/03/2014,7.97,7.7,7.08
01/04/2014,7.86,7.67,6.92
02/04/2014,7.85,7.64,6.86
03/04/2014,7.87,7.67,6.85
04/04/2014,7.88,7.66,6.83
07/04/2014,7.86,7.64,6.8
08/04/2014,7.85,7.64,6.81
09/04/2014,7.85,7.64,7.43
10/04/2014,7.86,7.61,6.93
11/04/2014,7.86,7.6,6.96
14/04/2014,7.85,7.6,6.76
15/04/2014,7.87,7.57,6.77
16/04/2014,7.89,7.58,6.75
17/04/2014,7.91,7.56,6.75
21/04/2014,7.94,7.59,6.78
22/04/2014,8.04,7.62,6.77
23/04/2014,8.09,7.63,6.81
24/04/2014,8.05,7.64,6.88
25/04/2014,7.97,7.6,6.68
28/04/2014,7.9,7.59,6.84
29/04/2014,7.9,7.6,6.77
30/04/2014,7.93,7.63,6.74
02/05/2014,7.95,7.63,6.68
05/05/2014,7.96,7.63,6.79
06/05/2014,7.96,7.64,6.76
07/05/2014,8.01,7.65,6.96
08/05/2014,8.09,7.67,6.82
09/05/2014,8.05,7.64,6.77
12/05/2014,8.02,7.63,6.89
13/05/2014,8.05,7.64,7.14
14/05/2014,8.02,7.63,7
16/05/2014,7.92,7.57,6.78
19/05/2014,7.86,7.54,6.75
20/05/2014,7.91,7.56,6.74
21/05/2014,8,7.61,6.6
22/05/2014,8.06,7.63,6.86
23/05/2014,8.02,7.62,6.74
25/05/2014,8.02,7.62,7.59
26/05/2014,8.04,7.63,6.74
28/05/2014,8.05,7.71,6.82
30/05/2014,8.06,7.65,7.05
02/06/2014,8.06,7.67,6.75
03/06/2014,8.03,7.67,6.8
04/06/2014,8.03,7.7,6.8
05/06/2014,8.03,7.69,6.75
06/06/2014,8.02,7.68,6.79
09/06/2014,7.98,7.64,6.84
10/06/2014,8.01,7.66,7.1
11/06/2014,8.04,7.71,6.73
12/06/2014,8.04,7.7,6.66
13/06/2014,8.02,7.7,6.8
16/06/2014,8.03,7.68,6.81
17/06/2014,8.05,7.69,6.67
18/06/2014,8.09,7.72,6.64
19/06/2014,8.11,7.73,6.74
20/06/2014,8.11,7.66,6.77
23/06/2014,8.14,7.72,6.64
24/06/2014,8.1,7.72,6.84
25/06/2014,8.2,7.79,6.81
26/06/2014,8.26,7.81,6.85
27/06/2014,8.29,7.86,6.84
30/06/2014,8.24,7.83,6.89
01/07/2014,8.18,7.8,7.02
02/07/2014,8.11,7.76,6.97
03/07/2014,8.1,7.77,7.01
04/07/2014,8.14,7.79,7
07/07/2014,8.13,7.78,7.01
08/07/2014,8.06,7.77,7.01
09/07/2014,8.06,7.77,7.67
10/07/2014,8.02,7.73,6.81
11/07/2014,8.06,7.82,6.84
12/07/2014,8.06,7.82,6.84
14/07/2014,8.17,7.86,6.93
15/07/2014,8.17,7.86,7.07
16/07/2014,8.13,7.82,7.14
17/07/2014,8.07,7.8,7.13
18/07/2014,8.06,7.83,6.95
20/07/2014,8.06,7.83,6.95
21/07/2014,8,7.81,6.8
22/07/2014,8.01,7.84,6.98
23/07/2014,8.05,7.88,7.11
24/07/2014,8.04,7.81,6.87
25/07/2014,8.03,7.87,6.87
27/07/2014,8.03,7.87,6.87
31/07/2014,8.03,7.85,7.49
01/08/2014,8.03,7.85,6.77
02/08/2014,8.03,7.85,7.49
04/08/2014,8.08,7.81,7.08
05/08/2014,8.17,7.94,7.29
06/08/2014,8.22,7.98,7.12
07/08/2014,8.23,8,7.23
08/08/2014,8.28,8.02,7.32
10/08/2014,8.28,8.02,7.68
11/08/2014,8.29,8.01,7.27
12/08/2014,8.25,8.01,7.25
13/08/2014,8.24,8.02,7.23
14/08/2014,8.21,7.99,7.14
15/08/2014,8.21,8.01,7.16
18/08/2014,8.22,8,7.16
19/08/2014,8.29,8.03,7.21
20/08/2014,8.31,8.02,7.2
21/08/2014,8.36,8.02,7.19
22/08/2014,8.27,8.01,7.19
25/08/2014,8.23,8,7.21
26/08/2014,8.26,8.02,7.16
27/08/2014,8.29,8.02,7.11
28/08/2014,8.28,8.01,7.16
29/08/2014,8.22,7.99,7.13
31/08/2014,8.22,7.99,7.57
01/09/2014,8.17,7.97,7.12
